[i] Train : 7038
[i] Valid : 227
[i] pred_bboxes_op : Tensor("transpose:0", shape=(?, 49104, 4), dtype=float32)
[i] pred_classes_op : Tensor("RetinaNet/Sigmoid:0", shape=(?, 49104, 2), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(?, 49104, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(?, 49104, 2), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
 [i] generate validation data
[i] iter : 6200, loss : 6.5794, focal_loss : 0.1887, giou_loss : 0.1799, l2_reg_loss : 6.2108, train_time : 23sec
[i] iter : 6250, loss : 6.5931, focal_loss : 0.2081, giou_loss : 0.1861, l2_reg_loss : 6.1989, train_time : 23sec
[i] iter : 6300, loss : 6.5739, focal_loss : 0.2016, giou_loss : 0.1855, l2_reg_loss : 6.1869, train_time : 23sec
[i] iter : 6350, loss : 6.5677, focal_loss : 0.2047, giou_loss : 0.1881, l2_reg_loss : 6.1749, train_time : 23sec
[i] iter : 6400, loss : 6.7151, focal_loss : 0.3508, giou_loss : 0.2002, l2_reg_loss : 6.1642, train_time : 23sec
[i] iter : 6450, loss : 6.5823, focal_loss : 0.2389, giou_loss : 0.1902, l2_reg_loss : 6.1532, train_time : 23sec
[i] iter : 6500, loss : 6.6184, focal_loss : 0.2864, giou_loss : 0.1900, l2_reg_loss : 6.1420, train_time : 23sec
[i] iter : 6550, loss : 6.5430, focal_loss : 0.2266, giou_loss : 0.1855, l2_reg_loss : 6.1310, train_time : 22sec
[i] iter : 6600, loss : 6.5343, focal_loss : 0.2272, giou_loss : 0.1873, l2_reg_loss : 6.1198, train_time : 23sec
[i] iter : 6650, loss : 6.5203, focal_loss : 0.2263, giou_loss : 0.1854, l2_reg_loss : 6.1086, train_time : 23sec
[i] iter : 6700, loss : 6.5067, focal_loss : 0.2205, giou_loss : 0.1887, l2_reg_loss : 6.0976, train_time : 23sec
[i] iter : 6750, loss : 6.4606, focal_loss : 0.1894, giou_loss : 0.1848, l2_reg_loss : 6.0864, train_time : 22sec
[i] iter : 6800, loss : 6.4313, focal_loss : 0.1694, giou_loss : 0.1867, l2_reg_loss : 6.0752, train_time : 23sec
[i] iter : 6850, loss : 6.4443, focal_loss : 0.1916, giou_loss : 0.1889, l2_reg_loss : 6.0638, train_time : 22sec
[i] iter : 6900, loss : 6.4699, focal_loss : 0.2329, giou_loss : 0.1843, l2_reg_loss : 6.0527, train_time : 22sec
[i] iter : 6950, loss : 6.4459, focal_loss : 0.2200, giou_loss : 0.1842, l2_reg_loss : 6.0416, train_time : 22sec
[i] iter : 7000, loss : 6.4006, focal_loss : 0.1878, giou_loss : 0.1824, l2_reg_loss : 6.0305, train_time : 22sec
[i] iter : 7050, loss : 6.3897, focal_loss : 0.1869, giou_loss : 0.1836, l2_reg_loss : 6.0192, train_time : 23sec
[i] iter : 7100, loss : 6.3830, focal_loss : 0.1863, giou_loss : 0.1888, l2_reg_loss : 6.0080, train_time : 23sec
[i] iter : 7150, loss : 6.4010, focal_loss : 0.2121, giou_loss : 0.1922, l2_reg_loss : 5.9967, train_time : 22sec
[i] iter : 7200, loss : 6.3454, focal_loss : 0.1787, giou_loss : 0.1813, l2_reg_loss : 5.9854, train_time : 23sec
[i] iter : 7250, loss : 6.3840, focal_loss : 0.2308, giou_loss : 0.1790, l2_reg_loss : 5.9742, train_time : 23sec
[i] iter : 7300, loss : 6.3627, focal_loss : 0.2154, giou_loss : 0.1842, l2_reg_loss : 5.9631, train_time : 23sec
[i] iter : 7350, loss : 6.3779, focal_loss : 0.2360, giou_loss : 0.1898, l2_reg_loss : 5.9520, train_time : 23sec
[i] iter : 7400, loss : 6.4319, focal_loss : 0.2982, giou_loss : 0.1915, l2_reg_loss : 5.9422, train_time : 23sec
[i] iter : 7450, loss : 6.4242, focal_loss : 0.2981, giou_loss : 0.1938, l2_reg_loss : 5.9323, train_time : 23sec
[i] iter : 7500, loss : 6.3921, focal_loss : 0.2823, giou_loss : 0.1873, l2_reg_loss : 5.9226, train_time : 23sec
[i] iter : 7550, loss : 6.3269, focal_loss : 0.2269, giou_loss : 0.1874, l2_reg_loss : 5.9126, train_time : 23sec
[i] iter : 7600, loss : 6.2887, focal_loss : 0.2000, giou_loss : 0.1861, l2_reg_loss : 5.9025, train_time : 24sec
[i] iter : 7650, loss : 6.2703, focal_loss : 0.1922, giou_loss : 0.1857, l2_reg_loss : 5.8924, train_time : 23sec
[i] iter : 7700, loss : 6.2302, focal_loss : 0.1717, giou_loss : 0.1764, l2_reg_loss : 5.8821, train_time : 23sec
[i] iter : 7750, loss : 6.2503, focal_loss : 0.1895, giou_loss : 0.1890, l2_reg_loss : 5.8719, train_time : 23sec
[i] iter : 7800, loss : 6.1989, focal_loss : 0.1586, giou_loss : 0.1788, l2_reg_loss : 5.8615, train_time : 23sec
[i] iter : 7850, loss : 6.2319, focal_loss : 0.1917, giou_loss : 0.1891, l2_reg_loss : 5.8512, train_time : 23sec
[i] iter : 7900, loss : 6.2028, focal_loss : 0.1781, giou_loss : 0.1839, l2_reg_loss : 5.8408, train_time : 23sec
[i] iter : 7950, loss : 6.1879, focal_loss : 0.1781, giou_loss : 0.1794, l2_reg_loss : 5.8304, train_time : 23sec
[i] iter : 8000, loss : 6.1877, focal_loss : 0.1824, giou_loss : 0.1853, l2_reg_loss : 5.8199, train_time : 23sec
[i] iter : 8050, loss : 6.1889, focal_loss : 0.1939, giou_loss : 0.1855, l2_reg_loss : 5.8095, train_time : 23sec
[i] iter : 8100, loss : 6.1412, focal_loss : 0.1675, giou_loss : 0.1748, l2_reg_loss : 5.7990, train_time : 23sec
[i] iter : 8150, loss : 6.1917, focal_loss : 0.2193, giou_loss : 0.1838, l2_reg_loss : 5.7885, train_time : 23sec
[i] iter : 8200, loss : 6.1130, focal_loss : 0.1596, giou_loss : 0.1752, l2_reg_loss : 5.7782, train_time : 23sec
[i] iter : 8250, loss : 6.1613, focal_loss : 0.2078, giou_loss : 0.1857, l2_reg_loss : 5.7677, train_time : 24sec
[i] iter : 8300, loss : 6.1297, focal_loss : 0.1913, giou_loss : 0.1812, l2_reg_loss : 5.7573, train_time : 23sec
